RouteId,Route,Order,DisplayName,OriginalName,Latitude,Longitude,GoogleMapsPoint,GoogleMapsFromCurrent,WazePoint
1,Маршрут №1,1,"Старт — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №1. Початок Маршруту,50.4865819,30.3942046,"https://www.google.com/maps/search/?api=1&query=50.4865819,30.3942046","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate&waypoints=50.4865819,30.3942046|50.4862451,30.3960940|50.4866666,30.3955791|50.4810374,30.4071635|50.4819282,30.4029943|50.4815977,30.3957863|50.4878223,30.3941388",https://waze.com/ul?ll=50.4865819%2C30.3942046&navigate=yes
1,Маршрут №1,2,Коло Мрії / Стеценка — в’їзд для проїзду прямо,Маршрут №1. Розворот по колу 1,50.4862451,30.3960940,"https://www.google.com/maps/search/?api=1&query=50.4862451,30.3960940","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate&waypoints=50.4862451,30.3960940|50.4866666,30.3955791|50.4810374,30.4071635|50.4819282,30.4029943|50.4815977,30.3957863|50.4878223,30.3941388",https://waze.com/ul?ll=50.4862451%2C30.3960940&navigate=yes
1,Маршрут №1,3,Коло Мрії / Стеценка — виїзд після проїзду прямо,Маршрут №1. Розворот по колу 2,50.4866666,30.3955791,"https://www.google.com/maps/search/?api=1&query=50.4866666,30.3955791","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate&waypoints=50.4866666,30.3955791|50.4810374,30.4071635|50.4819282,30.4029943|50.4815977,30.3957863|50.4878223,30.3941388",https://waze.com/ul?ll=50.4866666%2C30.3955791&navigate=yes
1,Маршрут №1,4,Район Данила Щербаківського / Марченка — розворот,Маршрут №1. Розворот на Марченка,50.4810374,30.4071635,"https://www.google.com/maps/search/?api=1&query=50.4810374,30.4071635","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate&waypoints=50.4810374,30.4071635|50.4819282,30.4029943|50.4815977,30.3957863|50.4878223,30.3941388",https://waze.com/ul?ll=50.4810374%2C30.4071635&navigate=yes
1,Маршрут №1,5,Поворот на вул. Ігоря Турчина,Маршрут №1. Поворот на Турчина,50.4819282,30.4029943,"https://www.google.com/maps/search/?api=1&query=50.4819282,30.4029943","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate&waypoints=50.4819282,30.4029943|50.4815977,30.3957863|50.4878223,30.3941388",https://waze.com/ul?ll=50.4819282%2C30.4029943&navigate=yes
1,Маршрут №1,6,Повернення на вул. Мрії,Маршрут №1. Повернення на Мрії,50.4815977,30.3957863,"https://www.google.com/maps/search/?api=1&query=50.4815977,30.3957863","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate&waypoints=50.4815977,30.3957863|50.4878223,30.3941388",https://waze.com/ul?ll=50.4815977%2C30.3957863&navigate=yes
1,Маршрут №1,7,Сирецько-Садова — розворот і повернення до ТСЦ,Маршрут №1. Розворот через Сирецько-Садову,50.4878223,30.3941388,"https://www.google.com/maps/search/?api=1&query=50.4878223,30.3941388","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate&waypoints=50.4878223,30.3941388",https://waze.com/ul?ll=50.4878223%2C30.3941388&navigate=yes
1,Маршрут №1,8,"Фініш — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №1. Завершення Маршруту,50.4865083,30.3944231,"https://www.google.com/maps/search/?api=1&query=50.4865083,30.3944231","https://www.google.com/maps/dir/?api=1&destination=50.4865083,30.3944231&travelmode=driving&dir_action=navigate",https://waze.com/ul?ll=50.4865083%2C30.3944231&navigate=yes
2,Маршрут №2,1,"Старт — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №2. Початок Маршруту,50.4865986,30.3941926,"https://www.google.com/maps/search/?api=1&query=50.4865986,30.3941926","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.4865986,30.3941926|50.4935591,30.3792992|50.5073771,30.4090167|50.5072440,30.4075951|50.4821437,30.4057020|50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579",https://waze.com/ul?ll=50.4865986%2C30.3941926&navigate=yes
2,Маршрут №2,2,Поворот на вул. Газопровідну,Маршрут №2. Поворот на Газопровідну,50.4935591,30.3792992,"https://www.google.com/maps/search/?api=1&query=50.4935591,30.3792992","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.4935591,30.3792992|50.5073771,30.4090167|50.5072440,30.4075951|50.4821437,30.4057020|50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579",https://waze.com/ul?ll=50.4935591%2C30.3792992&navigate=yes
2,Маршрут №2,3,Коло Івана Виговського / просп. Європейського Союзу — в’їзд,Маршрут №2. Розворот по колу 1,50.5073771,30.4090167,"https://www.google.com/maps/search/?api=1&query=50.5073771,30.4090167","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.5073771,30.4090167|50.5072440,30.4075951|50.4821437,30.4057020|50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579",https://waze.com/ul?ll=50.5073771%2C30.4090167&navigate=yes
2,Маршрут №2,4,Коло Івана Виговського / просп. Європейського Союзу — виїзд,Маршрут №2. Розворот по колу 2,50.5072440,30.4075951,"https://www.google.com/maps/search/?api=1&query=50.5072440,30.4075951","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.5072440,30.4075951|50.4821437,30.4057020|50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579",https://waze.com/ul?ll=50.5072440%2C30.4075951&navigate=yes
2,Маршрут №2,5,Поворот на вул. Стеценка,Маршрут №2. Поворот на стеценка,50.4821437,30.4057020,"https://www.google.com/maps/search/?api=1&query=50.4821437,30.4057020","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.4821437,30.4057020|50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579",https://waze.com/ul?ll=50.4821437%2C30.4057020&navigate=yes
2,Маршрут №2,6,Коло Мрії / Стеценка — в’їзд для проїзду прямо,Маршрут №2. Розворот по колу 1,50.4865225,30.3953970,"https://www.google.com/maps/search/?api=1&query=50.4865225,30.3953970","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.4865225,30.3953970|50.4863211,30.3962070|50.4878584,30.3942579",https://waze.com/ul?ll=50.4865225%2C30.3953970&navigate=yes
2,Маршрут №2,7,Коло Мрії / Стеценка — виїзд після проїзду прямо,Маршрут №2. Розворот по колу 2,50.4863211,30.3962070,"https://www.google.com/maps/search/?api=1&query=50.4863211,30.3962070","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.4863211,30.3962070|50.4878584,30.3942579",https://waze.com/ul?ll=50.4863211%2C30.3962070&navigate=yes
2,Маршрут №2,8,Поворот на Сирецько-Садову перед поверненням до ТСЦ,Маршрут №2. Поворот на Сирецько-Садову,50.4878584,30.3942579,"https://www.google.com/maps/search/?api=1&query=50.4878584,30.3942579","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate&waypoints=50.4878584,30.3942579",https://waze.com/ul?ll=50.4878584%2C30.3942579&navigate=yes
2,Маршрут №2,9,"Фініш — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №2. Завершення Маршруту,50.4865177,30.3944411,"https://www.google.com/maps/search/?api=1&query=50.4865177,30.3944411","https://www.google.com/maps/dir/?api=1&destination=50.4865177,30.3944411&travelmode=driving&dir_action=navigate",https://waze.com/ul?ll=50.4865177%2C30.3944411&navigate=yes
3,Маршрут №3,1,"Старт — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №3. Початок Маршруту,50.4866143,30.3941706,"https://www.google.com/maps/search/?api=1&query=50.4866143,30.3941706","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4866143,30.3941706|50.4873407,30.3943120|50.4862313,30.3960858|50.4866255,30.3954930|50.4809593,30.4072924|50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4866143%2C30.3941706&navigate=yes
3,Маршрут №3,2,Виїзд від ТСЦ на вул. Стеценка,Маршрут №3. Виїзд на Стеценка,50.4873407,30.3943120,"https://www.google.com/maps/search/?api=1&query=50.4873407,30.3943120","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4873407,30.3943120|50.4862313,30.3960858|50.4866255,30.3954930|50.4809593,30.4072924|50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4873407%2C30.3943120&navigate=yes
